name,round,precision,recall,f1,fpr,fnr,median_runtime_sec,p95_runtime_sec,estimated_cost_per_1k,tp,fp,tn,fn
round1_int0,1,1.0000,1.0000,1.0000,0.0000,0.0000,0.5500,0.5500,0.5000,72,0,70,0
round2_thr90,2,1.0000,1.0000,1.0000,0.0000,0.0000,0.5500,0.5500,0.5000,72,0,70,0
round2_crp_robust,2,1.0000,1.0000,1.0000,0.0000,0.0000,0.5500,0.5500,0.5000,72,0,70,0
round2_pv-google-indexed,2,1.0000,1.0000,1.0000,0.0000,0.0000,0.9000,0.9000,1.0000,72,0,70,0
seed_balanced,0,1.0000,1.0000,1.0000,0.0000,0.0000,1.3500,1.3500,1.8000,72,0,70,0
round1_crp_robust,1,1.0000,1.0000,1.0000,0.0000,0.0000,1.3500,1.3500,1.8000,72,0,70,0
round1_thr85,1,1.0000,1.0000,1.0000,0.0000,0.0000,1.3500,1.3500,1.8000,72,0,70,0
seed_robust,0,1.0000,1.0000,1.0000,0.0000,0.0000,1.7000,1.7000,2.3000,72,0,70,0
round1_pv-google-indexed,1,1.0000,1.0000,1.0000,0.0000,0.0000,1.7000,1.7000,2.3000,72,0,70,0
seed_low_cost,0,1.0000,0.7361,0.8480,0.0000,0.2639,0.5500,0.5500,0.5000,53,0,70,19
