site_id,url,true_label,pred_label,target_brand,pred_brand,brand_confidence,brand_source,crp,is_crp_true,crp_reason,reasons,runtime_sec,estimated_cost,failure_bucket,notes
site_001,https://status.chase.com/,benign,benign,chase.com,chase.com,0.85,ocr+caption,1,0,crp_terms,brand=chase.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,"legitimate status page, no login flow"
site_002,https://wellsfargo.com/auth/login,benign,benign,wellsfargo.com,wellsfargo.com,0.85,ocr+caption,1,1,crp_terms,brand=wellsfargo.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,legitimate login page on registered brand domain
site_003,https://blog.bankofamerica.com/security-best-practices,benign,benign,bankofamerica.com,bankofamerica.com,0.85,ocr+caption,1,0,crp_terms,brand=bankofamerica.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,informational blog post mentioning password but not asking for one
site_004,https://outlook.com/security/login,benign,benign,microsoft.com,microsoft.com,0.99,ocr+caption,1,1,crp_terms,brand=microsoft.com@0.99|credential_taking|popular_domain_cached|keywords:2,1.35,0.0018,,alias legitimate domain example (popularity validation should clear it)
site_005,https://verify-paypal.vercel.app/,phish,phish,paypal.com,paypal.com,0.85,ocr+caption,1,1,crp_terms,brand=paypal.com@0.85|brand_domain_mismatch|credential_taking|suspicious_domain|strict_hosting_rule|keywords:1,1.35,0.0018,,hidden login behind continue button on hosting domain
site_006,https://status.facebook.com/,benign,benign,facebook.com,facebook.com,0.85,ocr+caption,1,0,crp_terms,brand=facebook.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,"legitimate status page, no login flow"
site_007,https://fb.com/security/login,benign,benign,facebook.com,facebook.com,0.85,ocr+caption,1,1,crp_terms,brand=facebook.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,alias legitimate domain example (popularity validation should clear it)
site_008,https://open-source-api.netlify.app/,benign,benign,,netlify.com,0.57,ocr+caption,0,0,no_crp_terms,brand_below_threshold=netlify.com@0.57|brand_domain_mismatch|suspicious_domain|strict_hosting_rule|url_stem_guess:netlify.com+suspicious|keywords:0,1.35,0.0018,,legitimate dev project hosted on a SaaS platform; not a credential page
site_009,https://live.com/security/login,benign,benign,microsoft.com,microsoft.com,0.99,ocr+caption,1,1,crp_terms,brand=microsoft.com@0.99|credential_taking|popular_domain_cached|keywords:2,1.35,0.0018,,alias legitimate domain example (popularity validation should clear it)
site_010,https://faceb00k.com/security/login,phish,phish,facebook.com,facebook.com,0.99,url+visual,1,1,crp_terms,brand=facebook.com@0.99|brand_domain_mismatch|credential_taking|typosquat:facebook.com,1.35,0.0018,,"typo-squatted domain, password field present"
site_011,https://google.com/auth/login,benign,benign,google.com,google.com,0.85,ocr+caption,1,1,crp_terms,brand=google.com@0.85|credential_taking|popular_domain_cached|keywords:1,1.35,0.0018,,legitimate login page on registered brand domain
