round,name,candidate_name,num_samples,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,accuracy,recall_ci_lo,recall_ci_hi,median_runtime_sec,p95_runtime_sec,estimated_cost_per_1k,failures.brand_hallucination,failures.alias_false_positive,failures.brand_miss,failures.crp_miss,failures.hidden_login_miss,failures.fusion_miss,failures.prompt_injection_failure,failures.api_or_parser_failure,cm.benign.benign,cm.benign.phish,cm.phish.benign,cm.phish.phish,respects_precision_floor,respects_runtime_budget
0,seed_balanced,seed_balanced,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.35,1.35,1.8,0,0,0,0,0,0,0,0,70,0,0,72,True,True
0,seed_baseline,seed_baseline,142,53,0,70,19,1.0,0.7361,0.848,0.0,0.2639,0.8662,0.6296,0.8286,1.7,1.7,2.3,0,0,19,0,0,0,0,0,70,0,19,53,True,True
0,seed_low_cost,seed_low_cost,142,53,0,70,19,1.0,0.7361,0.848,0.0,0.2639,0.8662,0.6296,0.8286,0.55,0.55,0.5,0,0,19,0,0,0,0,0,70,0,19,53,True,True
0,seed_no_validation,seed_no_validation,142,53,52,18,19,0.5048,0.7361,0.5989,0.7429,0.2639,0.5,0.6296,0.8286,1.3,1.3,1.7,2,50,19,0,0,0,0,0,18,52,19,53,False,True
0,seed_precision_first,seed_precision_first,142,53,0,70,19,1.0,0.7361,0.848,0.0,0.2639,0.8662,0.6296,0.8286,1.25,1.25,1.8,0,0,19,0,0,0,0,0,70,0,19,53,True,True
0,seed_recall_first,seed_recall_first,142,72,20,50,0,0.7826,1.0,0.878,0.2857,0.0,0.8592,1.0,1.0,1.7,1.7,2.3,20,0,0,0,0,0,0,0,50,20,0,72,False,True
0,seed_robust,seed_robust,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.7,1.7,2.3,0,0,0,0,0,0,0,0,70,0,0,72,True,True
0,seed_visual_only,seed_visual_only,142,41,0,70,31,1.0,0.5694,0.7257,0.0,0.4306,0.7817,0.4559,0.6721,1.25,1.25,1.8,0,0,19,0,0,0,12,0,70,0,31,41,True,True
1,round1_crp_robust,round1_crp_robust,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.35,1.35,1.8,0,0,0,0,0,0,0,0,70,0,0,72,True,True
1,round1_pv-google-indexed,round1_pv-google-indexed,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.7,1.7,2.3,0,0,0,0,0,0,0,0,70,0,0,72,True,True
1,round1_brand_precision-crp_precision-pv-google-indexed-thr85,round1_brand_precision-crp_precision-pv-google-indexed-thr85,142,53,0,70,19,1.0,0.7361,0.848,0.0,0.2639,0.8662,0.64,0.8382,1.7,1.7,2.3,0,0,19,0,0,0,0,0,70,0,19,53,True,True
1,round1_brand_recall-crp_recall-mismatch_or_crp-thr75,round1_brand_recall-crp_recall-mismatch_or_crp-thr75,142,72,20,50,0,0.7826,1.0,0.878,0.2857,0.0,0.8592,1.0,1.0,1.35,1.35,1.8,20,0,0,0,0,0,0,0,50,20,0,72,False,True
1,round1_int0,round1_int0,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.55,0.55,0.5,0,0,0,0,0,0,0,0,70,0,0,72,True,True
1,round1_thr85,round1_thr85,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.35,1.35,1.8,0,0,0,0,0,0,0,0,70,0,0,72,True,True
2,round2_brand_recall-crp_recall-int1-mismatch_or_crp-thr75,round2_brand_recall-crp_recall-int1-mismatch_or_crp-thr75,142,72,20,50,0,0.7826,1.0,0.878,0.2857,0.0,0.8592,1.0,1.0,1.0,1.0,1.0,20,0,0,0,0,0,0,0,50,20,0,72,False,True
2,round2_thr90,round2_thr90,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.55,0.55,0.5,0,0,0,0,0,0,0,0,70,0,0,72,True,True
2,round2_mismatch_or_crp,round2_mismatch_or_crp,142,72,10,60,0,0.878,1.0,0.9351,0.1429,0.0,0.9296,1.0,1.0,0.55,0.55,0.5,10,0,0,0,0,0,0,0,60,10,0,72,False,True
2,round2_crp_robust,round2_crp_robust,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.55,0.55,0.5,0,0,0,0,0,0,0,0,70,0,0,72,True,True
2,round2_brand_precision-crp_precision-pv-google-indexed-thr85,round2_brand_precision-crp_precision-pv-google-indexed-thr85,142,53,0,70,19,1.0,0.7361,0.848,0.0,0.2639,0.8662,0.6286,0.8406,0.9,0.9,1.0,0,0,19,0,0,0,0,0,70,0,19,53,True,True
2,round2_pv-google-indexed,round2_pv-google-indexed,142,72,0,70,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9,0.9,1.0,0,0,0,0,0,0,0,0,70,0,0,72,True,True
