site_id,url,true_label,pred_label,target_brand,pred_brand,brand_confidence,brand_source,crp,is_crp_true,crp_reason,reasons,runtime_sec,estimated_cost,failure_bucket,notes
site_001,https://status.chase.com/,benign,benign,chase.com,chase.com,0.78,ocr+caption,0,0,no_explicit_credential,brand_below_threshold=chase.com@0.78|popular_domain_validated|keywords:1,1.7,0.0023,,"legitimate status page, no login flow"
site_002,https://wellsfargo.com/auth/login,benign,benign,wellsfargo.com,wellsfargo.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=wellsfargo.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,legitimate login page on registered brand domain
site_003,https://blog.bankofamerica.com/security-best-practices,benign,benign,bankofamerica.com,bankofamerica.com,0.78,ocr+caption,1,0,explicit_credential_field,brand_below_threshold=bankofamerica.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,informational blog post mentioning password but not asking for one
site_004,https://outlook.com/security/login,benign,benign,microsoft.com,microsoft.com,0.96,ocr+caption,1,1,explicit_credential_field,brand=microsoft.com@0.96|credential_taking|popular_domain_validated|keywords:2,1.7,0.0023,,alias legitimate domain example (popularity validation should clear it)
site_005,https://verify-paypal.vercel.app/,phish,phish,paypal.com,paypal.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=paypal.com@0.78|brand_domain_mismatch|credential_taking|suspicious_domain|strict_hosting_rule|keywords:1,1.7,0.0023,,hidden login behind continue button on hosting domain
site_006,https://status.facebook.com/,benign,benign,facebook.com,facebook.com,0.78,ocr+caption,0,0,no_explicit_credential,brand_below_threshold=facebook.com@0.78|popular_domain_validated|keywords:1,1.7,0.0023,,"legitimate status page, no login flow"
site_007,https://fb.com/security/login,benign,benign,facebook.com,facebook.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=facebook.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,alias legitimate domain example (popularity validation should clear it)
site_008,https://open-source-api.netlify.app/,benign,benign,,,0.0,no_brand_signal,0,0,no_explicit_credential,suspicious_domain|no_brand_signal,1.7,0.0023,,legitimate dev project hosted on a SaaS platform; not a credential page
site_009,https://live.com/security/login,benign,benign,microsoft.com,microsoft.com,0.96,ocr+caption,1,1,explicit_credential_field,brand=microsoft.com@0.96|credential_taking|popular_domain_validated|keywords:2,1.7,0.0023,,alias legitimate domain example (popularity validation should clear it)
site_010,https://faceb00k.com/security/login,phish,phish,facebook.com,facebook.com,0.95,url+visual,1,1,explicit_credential_field,brand=facebook.com@0.95|brand_domain_mismatch|credential_taking|typosquat:facebook.com,1.7,0.0023,,"typo-squatted domain, password field present"
site_011,https://google.com/auth/login,benign,benign,google.com,google.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=google.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,legitimate login page on registered brand domain
site_012,https://dropbox-secure.zip/login,phish,phish,dropbox.com,dropbox.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=dropbox.com@0.78|brand_domain_mismatch|credential_taking|suspicious_domain|keywords:1,1.7,0.0023,,obvious brand mismatch phishing
site_013,https://metaverse-tools.com/login,benign,benign,,,0.0,no_brand_signal,1,1,explicit_credential_field,credential_taking|no_brand_signal,1.7,0.0023,,indie business with brand-like URL stem; URL-stem fallback should NOT flag
site_014,https://fortinet-portal.live/,phish,benign,fortinet.com,,0.0,no_brand_signal,1,1,explicit_credential_field,credential_taking|suspicious_domain|no_brand_signal,1.7,0.0023,brand_miss,"lesser-known enterprise brand, classical login"
site_015,https://live.com/security/login,benign,benign,microsoft.com,microsoft.com,0.96,ocr+caption,1,1,explicit_credential_field,brand=microsoft.com@0.96|credential_taking|popular_domain_validated|keywords:2,1.7,0.0023,,alias legitimate domain example (popularity validation should clear it)
site_016,https://dropbox.com/login,benign,benign,dropbox.com,dropbox.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=dropbox.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,legitimate login page on registered brand domain
site_017,https://trustwallet-restore.zip/,phish,benign,trustwallet.com,,0.0,no_brand_signal,1,0,explicit_credential_field,credential_taking|suspicious_domain|no_brand_signal,1.7,0.0023,brand_miss,crypto-style phishing without classic password field
site_018,https://bankofamerica.com/account/overview,benign,benign,bankofamerica.com,bankofamerica.com,0.78,ocr+caption,0,0,no_explicit_credential,brand_below_threshold=bankofamerica.com@0.78|popular_domain_validated|keywords:1,1.7,0.0023,,"legitimate account dashboard, no credential field"
site_019,https://amazon.co.uk/security/login,benign,benign,amazon.com,amazon.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=amazon.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,alias legitimate domain example (popularity validation should clear it)
site_020,https://netflix-secure.live/login,phish,phish,netflix.com,netflix.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=netflix.com@0.78|brand_domain_mismatch|credential_taking|suspicious_domain|keywords:1,1.7,0.0023,,obvious brand mismatch phishing
site_021,https://netflix.com/signin,benign,benign,netflix.com,netflix.com,0.78,ocr+caption,1,1,explicit_credential_field,brand_below_threshold=netflix.com@0.78|credential_taking|popular_domain_validated|keywords:1,1.7,0.0023,,legitimate login page on registered brand domain
site_022,https://open-source-portfolio.github.io/,benign,benign,,github.com,0.78,ocr+caption,0,0,no_explicit_credential,brand_below_threshold=github.com@0.78|brand_domain_mismatch|suspicious_domain|strict_hosting_rule|domain-stem:github|keywords:1,1.7,0.0023,,legitimate dev project hosted on a SaaS platform; not a credential page
